BiblioID,Reference
k2014,"Kameni, A., Kouebou, C., Aboubakar, D.A.K. & C., The. 2014. Effect of wheat flour substitution, maize variety and fermentation time on the characteristics of Akara, a deep oil fried dough product. African Journal of Food Science, 8(3): 104–111."
KA2003,"Kansci, G., Genot, C., Kamdem, A.M., Chana, A., Viau, M., Rampon, V., Metro, B. & Moreau, N. 2003. Composition et niveau, d’oxydation de quelques huiles végétales consommées au Cameroun, déterminées par des méthodes classiques et par spectroscopie moyen infrarouge. Sciences des Aliments, 23(3): 425–442."
KEN18,FAO & Government of Kenya. 2018. Kenya Food Composition Tables [online]. Nairobi. [Cited December 2018]. http://www.kilimo.go.ke/wp-content/uploads/2018/10/KENYA-FOOD-COMPOSITION-TABLES-2018.pdf
Lb2000,"Loura, B.B., Mapongmetsem, P.M., Nkongmeneck, B.A., Foko, J., Kapchie, V. & Denedoumba, D. 2000. Caractérisation physico-chimique de deux Myrtacées alimentaires endémiques des savanes soudano-guinéennes (Adamaoua, Cameroun). Cameroon Journal of Biological and Biochemical Sciences, 10(1): 61–69."
MA1000,PROSLABS. 2016. Food composition analysis of foods sampled in Mali and analysed by PROSLABS. (Unpublished)
MA1018,"Toury, R., Giorgi, R., Favier, J.C. & Savina, J.F. 1967. Aliments de l’Ouest Africain: Tables De Composition. Annales de la Nutrition et de l’Alimentation, 21(2): 73–127."
MB2005,"Bih Achu, M., Fokou, E., Tchiégang, C., Fotso, M. & Mbiapo Tchouanguep, F. 2005. Nutritive value of some Cucurbitaceae oilseeds from different regions in Cameroon. African Journal of Biotechnology, 4(11): 1329–1334."
MEGNIA,"Megnanou, R-M. & Niamke, S. 2015. Improving the optimized shea butter quality: a great potential of utilization for common consumers and industrials. Springerplus, 4(1): 667."
NC2009,"Newilah, G.N., Dhuique-Mayer, C., Rojas-Gonzalez, J., Tomekpe, K., Fokou, E. & Etoa, F.X. 2009. Carotenoid contents during ripening of banana hybrids and cultivars grown in Cameroon. Fruits, 64(4): 197–206."
NG1007,"Adepoju, O.T. & O. A. Omotayo. 2014. Nutrient composition and potential contribution of winged termites (Macrotermes bellicosus smeathman) to micronutrient intake of consumers in Nigeria. British Journal of Applied Science & Technology, 4(7): 1149–1158."
NG1008,"Adepoju, O.T & Adeniji, P.A. 2012. Nutrient composition and micronutrient potential of three wildly grown varieties of African star apple (Chrysophyllum albidum) from Nigeria. African Journal of Food Science, 6(12): 344–351."
NG1010,"Adepoju, O.T., Adekola, Y.G., Mustapha, S.O. & Ogunola, S.I. 2010. Effect of processing methods on nutrient retention and contribution of cassava (Manihot spp) to nutrient intake of Nigerian consumers. African Journal of Food, Agriculture, Nutrition and Development, 10(2): 1–13. "
NG1011,"Adesuyi, A.O., Elumm, I.K., Adaramola, F.B. & Nwokocha, A.G.M. 2012. Nutritional and phytochemical screening of Garcinia kola. Advance Journal of Food Science and Technology, 4(1): 9–14."
NG1012,"Adetunde, O.T., Oluseyi, T.O., Oyeyiola, A.O., Silva, B.O., Olayinka, K.O. & Alo, B.I. 2012. Effects of roasting on the proximate composition and levels of polycyclic aromatic hydrocarbons in some roasted Nigerian delicacies. Journal of Emerging Trends in Engineering and Applied Sciences (JETEAS), 3(5): 857–862."
NG1016,"Afoakwa, E.O., Sefa-Dedeh, S. & Agyir-Sackey, E.K. 2003. Chemical composition and effect of processing on oxalate content of taro corms. Food Chemistry, 85(4): 479–487."
NG1018,"Agbaire, P.O. 2011. Nutritional and anti-nutritional levels of some local vegetables (Vernomia amgydalina, Manihot esculenta, Teiferia occidentalis, Talinum triangulare, Amaranthus spinosus) from Delta State, Nigeria. Journal of Applied Sciences and Environmental Management, 15(4): 625–628."
NG1020,"Agomuo, J.K., Akajiaku, L.O., Alaka, I.C. & Taiwo, M. 2016. Mineral and antinutrients of fresh and squeeze-washed bitter leaf (Vernonia amygdalina) as affected by traditional de-bittering methods. European Journal of Food Science and Technology, 4(2): 21–30."
NG1022,"Ahmad, S.M., Birnin-Yauri, U.A., Bagudo, B.U & Sahabi, D.M. 2013. Comparative analysis on the nutritional values of crayfish and some insects. African Journal of Food Science and Technology, 4(1): 9–12."
NG1023,"Ajai, A.I., Bankole, M., Jacob, J.O. & Audu, U.A. 2015. Determination of some essential minerals in selected edible insects. African Journal of Pure and Applied Chemistry, 7(5): 194–197."
NG1026,"Aku, F.U. 2015. Composition and antimicrobial properties of selected local spices Monodora myristica (Ehuru), Piper guineense (Uziza), Xylopia aethiopica (Uda). Michael Okpara University of Agriculture. (Undergraduate project)"
NG1035,"Asegbeloyin, J.N. & Onyimonyi, A.E. 2007. The effect of different processing methods on the residual cyanide of gari. Pakistan Journal of Nutrition, 6(2): 163–166."
NG1037,"Atasie, V.N. & Akinhanmi, T.F. 2009. Extraction, compositional studies and physico-chemical characteristics of palm kernel oil. Pakistan Journal of Nutrition, 8: 800–803."
NG1039,"Aywa, A. K., Nawiri, M.P. & Nyambaka, H.N. 2013. Nutrient variation in colored varieties of Ipomea batatas grown in Vihiga County, Western Kenya. International Food Research Journal, 20(2): 819–825."
NG1040,"Ayoola, P.B., Adeyeye, A. & Onawumi, O.O. 2012. Chemical evaluation of food value of groundnut (Arachi hypogaea) seeds. American Journal of Food and Nutrition, 2(3): 55–57."
NG1045,"Bello, K. 2013. Effect of processing method on the proximate and mineral composition of prawn (Penaeus notialis). Journal of Global Biosciences, 2(2): 42–46."
ng1049,"Boateng, M., Okai, D.B., Frimpong, Y.O. & Asabere, C.O. 2014. A comparative study of the nutritional and microbial profiles of the raw and processed seeds of the African Locust Bean (Parkia biglobosa). Livestock Research for Rural Development, 26(10): 178."
NG1050,"Charlie, A.M. 2014. Proximate, Phytochemicals and Anti-Nutrient Composition of Selected Green Leafy Vegetables Consumed in Cross River State. Department of Biochemistry, University of Calabar. (Undergraduate project)"
NG1051,"Chikwendu, N.J. 2007. Chemical composition of four varieties of groundbean. Journal of Agriculture, Food, Environment and Extension, 6(2): 73–84."
NG1052,"Chinma, C.E., Abu, J.O & Adani, O.P. 2012. Proximate composition, physical and sensory properties of non-wheat cakes from acha and bambara nut flour blends. Nigerian Journal of Nutritional Sciences, 33(1): 7–11"
NG1058,"Echendu, C.A., Obizoba, I.C. & Anyika, J.U. 2009. Effects of heat treatments on chemical composition of groundbean (Kerstingiella geocarpa harm). Pakistan Journal of Nutrition, 8(12): 1877–1883, "
NG1061,"Ejembi, D., Sanni, M., Emmanuel, F. & Abbah, O. 2014. Evaluation of the biochemical composition and proximate analysis of indomie noodles. International Journal of Medical and Applied Sciences, 3(1): 166–175."
NG1068,"Elkhalifa, A.E., Ayat M.H & Abu Zei, M.E. 2014. Analytical quality and acceptability of baked and fried banana chips. Journal of Human Nutrition & Food Science, 2(4): 1052."
NG1072,"Ene-Obong, H.N., Onuoha, N.O., Aburime, L.C & Mbah, O. 2015. Nutrient composition, Phytochemical and Anti-Oxidant Activities of Some Indigenous Spices in Southern Nigeria. Paper presented at the 11th International Food Data Conference (IFDC), 3–5 November 2015, Hyderabad, India, National Institute of Nutrition (NIN). "
NG1076,"Etefia, J.E. 2016. Proximate and mineral composition of groundnut. Department of Biochemistry, University of Calabar. (Undergraduate project)"
NG1081,"Ezeokeagu, H.N. 2010. The effect of different traditional cooking methods on the nature of starch on some Nigerian starchy foods. Department of Home Science, Nutrition and Dietetics, University of Nigeria. (Post-graduate project)"
NG1084,"Fakai, I.M., Sani, I. & Olalekan, O.S. 2015. Proximate composition and cholesterol content of egg obtained from various bird species. Journal of Harmonized Research in Medical and Health Sciences, 2(22): 18–25."
NG1093,"Ifie, I. & Emeruwa, C.H. 2011. Nutritional and anti-nutritional characteristics of the larva of Oryctes monoceros. Agriculture and Biology Journal of North America, 2(1): 42–46."
NG1094,"Ifop, F.U. 2014. Analytical survey of nutrients and contaminants in seafoods consumed in Calabar, Cross River State. Department of Biochemistry, University of Calabar. (Undergraduate project)"
NG1096,"Igbokwe, O.F. 2014. Studies on fatty acid and amino acid profiles of African breadfruit (Treculia africana) seeds. Department of Food Science and Technology, Michael Okpara University of Agriculture. (Undergraduate Project)"
NG1106,"Kayodele, O.D. 2015. Impacts of handling strategies on supplement maintenance of white yam (Dioscorea rotundata) items to nourishing intake of Nigerians. International Journal of Food Science and Microbiology, 2(4): 072–075."
NG1108,"Kosoko, S.B., Oluwole, O.B., Daramola, A.O., Adepoju, M.A., Oyelakin, A.J., Tugbobo-Amisu, A.O., Alagbe, G.O. & Elemo, G.N. 2014. Comparative quality evaluation of roasted cashew nut kernel: Effect of roasting methods. Advance Journal of Food Science and Technology, 6(12): 1362–1371."
NG1111,"Lawal, O.O., Agiang, M.A. & Eteng, M.U. 2012. Proximate and antinutrient composition of white Guinea yam (Dioscorea rotundata) diets consumed in Ibarapa, South West region of Nigeria. Journal of Natural Products of Plant Resources, 2(2): 256–260."
NG1112,"Madubuike, P.C., Onyema, C.T., Odinma, S.C. & Sokwaibe, C.E. 2014. Evaluation of mineral elements, cyanide and proximate composition of cassava (Mannihot esculenta crantz) from Ebony State, Nigeria. IOSR Journal of Environmental Science, Toxicology and Food Technology (IOSR-JESTFT), 8(8): 41–43."
NG1113,"Maina, H.M., Heidi, E.S. & Shaqal, M.H. 2012. Analytical screening of nutritional and non-essential components in unripe and ripe fruits of banana (Musa sapientum). International Journal of Medicinal Plant Research,1(3): 20–25."
NG1114,"Makanjuola, O.M., Ajayi, A.B., Mattew, K. & Makanjuola, J.O. 2013. The proximate composition and mineral contents of three plantain cultivars harvested at matured green level. International Journal of Innovations in Bio-Sciences, 3(2): 23–26."
NG1116,"Mazi, E., Okoronkwo, K.A & Ibe, U.K. 2013. Physico-chemical and nutritive properties of bitter kola (Garcinia Kola). Journal of Nutrition & Food Sciences, 3(4): 218."
NG1117,"Maziya-Dixon, B., Awoyale, W. & Dixon, A. 2015. Effect of processing on the retention of total carotenoid, iron and zinc contents of yellow-fleshed cassava roots. Journal of Food and Nutrition Research, 3(8): 483–488."
NG1120,"Modawi, S.Y.H. 2006. Nutritional evaluation and functional properties of flour of roasted pumpkin seeds. Department of Food Science and Technology, University of Khartoum. (MSc dissertation)"
NG1124,"Ndidi, S.U., Ndidi. C.U., Aimola, I.A., Obed, Y.B., Mankilik, M & Adamu, Z. 2014. Effects of processing (boiling and roasting) on the nutritional and antinutritional properties of bambara groundnuts (Vigna subterranea [L.] Verdc.) from Southern Kaduna, Nigeria. Journal of Food Processing, 2014: 1–9."
NG1125,"Ndife, J., Abdulraheem, L.O. & Zakari, U.M. 2010. Evaluation of the nutritional and sensory quality of functional breads produced from whole wheat and soya bean flour blends. African Journal of Food Science, 5(8): 466– 472."
NG1128,"Nicanuru, C., Laswai, H.S. & Sila, D.N. 2015. Effect of sun-drying on nutrient content of orange fleshed sweet potato tubers in Tanzania. Sky Journal of Food Science, 4(7): 091–101."
NG1129,"Njoku, J.N. 2005. Chemical, functional and sensory properties of blends of plantain flour, bambara groundnut flour and wheat flour for production of cake and biscuit. Michael Okpara University of Agriculture. (Undergraduate project)"
NG1135,"Nwauzon, E.N. 2004. Effect of fermentation on the nutrient content of quality protein Maize. Department of Biochemistry, University of Calabar. (Undergraduate project)"
NG1138,"Obasi, A., Ukadilonu, J., Eze, E., Akubugwo, E.I & Okorie, U.C. 2012. Proximate Composition, Extraction, Characterization and Comparative Assessment of Coconut (Cocos nucifera) and Melon (Colocynthis citrullus) Seeds and Seed Oils. Pakistan Journal of Biological Sciences, 15:1–9."
NG1140,"Oboh, H.A. & Erema, V.G. 2010. Glycemic indices of processed unripe plantain (Musa paradisiaca) meals. African Journal of Food Science, 4(8): 514–521."
NG1142,"Odebunmi, E.O., Oluwaniyi, O.O, Sanda, A.M. & Kolade, B.O. 2007. Nutritional composition of selected root crops used in Nigerian food preparation. International Journal of Chemistry, 17(1): 37–43."
NG1145,"Ogbonnaya, E.C. & Chinedum, E.K. 2013. Vitamin and carotenoid composition of raw and decoctions of water leaf (Talinum triangulare). Biochemistry & Pharmacology, 2(3): 121."
NG1154,"Ojieh, G. Oluba, O. Ogunlowo, Y. Adebisi, K., Eidangbe, G. & Orole, R. 2007. Compositional studies of Citrullus lanatus (Egusi Melon) seed. The Internet Journal of Nutrition and Wellness, 6(1): 1–5."
NG1157,"Oke, D.B., Tewe, O.O & Fetuga, B.L. 1995. The nutrient composition of cowpea varieties. Nigerian Journal of Animal Production, 22(1): 32–36."
NG1159,"Okeke, E.C., Ene-Obong, H.N., Uzuegbunam, A.O., Ozioko, A., Umeh, S.I & Chukwuone, N. 2009. The Igbo traditional food system documented in four states in southern Nigeria. In H.V. Kuhnlein, B. Erasmus & D. Spigelski, eds. Indigenous Peoples’ food systems: the many dimensions of culture, diversity and environment for nutrition and health, pp. 251–281. Rome, FAO."
NG1160,"Okeke, C.U., Ezeabara, C.A., Okoronkwo, O.F., Udechukwu, C.D. & Uka, C.J. 2015. Determination of nutritional and phytochemical compositions of two variants of bitter leaf (Vernonia amygdalina Del). Journal of Human Nutrition and Food Science, 3(3): 1065."
NG1162,"Oko, A.O., Famurewa, A.C. & Nwaza, J.O. 2015. Proximate composition, mineral elements and starch characteristics: study of eight (8) unripe plantain cultivars in Nigeria. British Journal of Applied Science & Technology, 6(3): 285–294."
NG1163,"Okolie, N.P. 2012. Comparative study on some selected garri samples sold in Lagos Metropolis. Journal of Food Studies, 1(1)."
NG1170,"Olatidoye, O.P & Sobowale, S.S. 2016. The effect of traditional processing methods on proximate, mineral composition and sensory qualities of three breeds of land snail reared in Edo State. Journal of Scientific Research in Pharmaceutical, Chemical & Biological Sciences, 1(1)."
NG1175,"Onuoha, O.N., Eme, P.E. & Ekpo, U.E. 2014. Chemical evaluation of unripe plantain dishes commonly consumed by Type 2 diabetics attending the University of Uyo Teaching Hospital in Akwa Ibom State, Nigeria. Pakistan Journal of Nutrition, 13(6): 331–334."
NG1176,"Onweluzo, J.C & Nwabugwu, C.C. 2009. Fermentation of millet (Pennisetum americanum) and pigeon pea (Cajanus cajan) seeds for flour production: Effects on Composition and Selected Functional Properties. Pakistan Journal of Nutrition, 8(6): 737–744."
NG1177,"Onyeike, E.N. & Oguike, J.U. 2003. Influence of heat processing methods on the nutrient composition and lipid characterization of groundnut (Arachis hypogaea) seed pastes. Biokemistri, 15(1): 34–43."
NG1178,"Onyema, C.T., Ekpunobi, U.C., Edowube, A.A., Odinma, S. & Sokwaibe, C.E. 2014. Quality assessment of common instant noodles sold in Nigeria markets. American Journal of Analytical Chemistry, 5(17): 1174–1177."
NG1179,"Onyenweaku, E.O., Ene-Obong, H.N & Ima, W. 2016. Proximate, mineral and vitamin composition of some eggs species consumed in Nigeria, in their raw and boiled forms. (Unpublished)"
NG1181,"Osunde, Z.D. & Musa Makama, A.L. 2007. Assessment of changes in nutritional values of locally sun-dried vegetables. AU Journal of Technology, 10(4): 248–253."
NG1184,"Otitoju, G.T.O., Otitoju, O., Nwamarah, J.U. & Baiyeri, S.O. 2015. Comparative study of the nutrient composition of four varieties of cowpea (Vigna unguiculata) and their products (beans-based products). Pakistan Journal of Nutrition, 14(9): 540–546."
NG1185,"Ochala, F.O. 2014. The effect of drying method on the vitamin C content of selected green leafy vegetables. Department of Biochemistry, University of Calabar. (Dissertation)"
NG1186,"Oyewole, O.E & Tijani, A.G. 2014. Public health nutrition potentials of two cultivars of commonly consumed cowpeas (“Oloyin” and “drum”) in south-west Nigeria. Nigerian Journal of Nutritional Sciences, 35(2): 74–79."
NG1187,"Ozumba, N.N. 2010. Nutrient composition and sensory evaluation of odudu oyibo (Moringa oleifera) leaves, pods and products. Department of Human Nutrition and Dietetics, Michael Okpara University of Agriculture."
NG1188,"Paiko, Y.B., Dauda, B.E., Sulaiman, M.A., Tanko, A.H & Jacob, J.O. 2013. Physico-chemical properties and metal ions content of oil extracted from cricket (Brachytrupes Membranaceus) in Bosso Local Government Area of Niger State, Nigeria. Asian Journal of Science and Technology, 4(5): 8–12."
NG1190,"Philip, O.E. 2012. Nutrient content of seedless breadfruit (Atocarpus communis) in comparison to African breadfruit (Treculia africana). Department of Human Nutrition and Dietetics, Michael Okpara University of Agriculture. (Undergraduate project)"
NG1191,"Pikuda, O.O & Ilelaboye, N.O. 2013. Proximate and chemical composition of OGI prepared from whole and powdered grains (maize, sorghum and millet). Annals of Biological Research, 4(7): 239–242."
NG1193,"Princewill-Ogbona, I.L. & Ibeji, C.C. 2015. Comparative study on nutritional and antinutritional compositions of three cultivars (red, green and yellow) of aerial yam (Dioscorea bulbifera). IOSR Journal of Environmental Science, Toxicology and Food Technology, 9(5): 79–86."
NG1200,"Tlhong, T.M. 2008. Meat quality of raw and processed guinea fowl (Numeda meleagris). Stellenbosch University. (MSc dissertation)"
NG1209,"Udofia, U.S. 2005. Effect of traditional processing techniques on leafy vegetables and starchy staples consumed in Akwa Ibom State, Nigeria. University of Nigeria. (PhD dissertation)"
NG1210,"Uhegbu, F.O., Onwuchekwa, C.C., Iweala, E.E. & Kanu, I. 2009. Effect of processing methods on nutritive and antinutritive properties of seeds of Brachystegia eurycoma and Detarium microcarpum from Nigeria. Pakistan Journal of Nutrition, 8(4): 316–320."
NG1212,"Ukom, A.N., Ojimelukwe, P.C., Ezeama, C.F., Ortiz, D. & Aragon, I.I. 2014. Proximate composition and carotenoid profile of yams (Dioscorea spp.) and cocoyam (Xanthosoma maffa (Scoth)) root tubers from Nigeria. American Journal of Food and Nutrition, 4(1): 1–10."
NG1216,"Ureigho, U.N. & Ekeke, B.A. 2010. Nutrient Values of Chrysophyllum albidum Linn African star apple as a domestic income plantation species. African Research Review, 4(2): 50–56."
NG1219,"Yakubu, N., Amuzat, A.O & Hamza, R.U. 2012. Effect of processing methods on the nutritional contents of bitter leaf (Vernonia amygdalina). American Journal of Nutrition and Food Science, 2(1): 26–30."
NG1220,"Yarkwan, B. & Uvir, B.H. 2015. Effects of drying methods on the nutritional composition of unripe plantain flour. Food Science and Quality Management, 41: 5–10."
NG1222,"Adetunji, V.O. & Babalobi, O.O. 2011. A comparative assessment of the nutritional contents of ’Wara’ a West African soft cheese using Calotropis procera and Cymbopogon citratus as coagulants. African Journal of Food, Agriculture, Nutrition and Development, 11(7): 5573–5585."
NG1223,"Uzeh, R.E., Ohenhen, R.E. & Rojugbokan, A.K. 2006. Microbiological and nutritional qualities of dairy products Nono and Wara. Nature and Science, 4(3): 37–40."
NG1224,"Ijeh, I.I., Ejike, C.E., Nkwonta, O.M. & Njoku, B.C. 2010. Effect of traditional processing techniques on the nutritional and phytochemical composition of African bread-fruit (Treculia africana) seeds. Journal of Applied Sciences and Environment Management, 14(4): 169–173."
NG1990,"Ngassoum, M.B., Tenin, D. & Kayem, G.J. 1990. Les sesames du Cameroun: Composition et potentiel de valorisation. Proceedings of the First Annual Conference of the Cameroon Biosciences Society, 1: 447– 450."
NG2000,"Oluwafemi, G. & Udeh, C. 2016. Comparative evaluation of nutritional values of guinea fowl, duck and quail eggs. Journal of Environmental Science, Toxicology and Food Technology, 10(1): 57–59."
NG2001,"Bashir, L., Ossai, P.C., Shittu, O.K., Abubakar, A.N. & Caleb, T. 2015. Comparison of the nutritional value of egg yolk and egg albumin from domestic chicken, guinea fowl and hybrid chicken. American Journal of Experimental Agriculture, 6(5): 310."
NG2002,"Odebunmi, E.O., Oluwaniyi, O.O., Awolola, G.V. & Adediji, O.D. 2009. Proximate and nutritional composition of kola nut (Cola nitida), bitter cola (Garcinia cola) and alligator pepper (Afromomum melegueta). African Journal of Biotechnology, 8(2): 308–310."
NG2003,"Eleyinmi, A.F., Bressler, D.C., Amoo, I.A., Sporns, P. & Oshodi, A.A. 2006. Chemical composition of bitter cola (Garcinia kola) seed and hulls. Polish Journal of Food Nutrition Sciences, 15(4): 395–400."
NG2004,"Dike, M.C. & Asuquo, M.E. 2012. Proximate, phytochemical and mineral compositions of seeds of Allanblackia floribunda, Garcinia kola and Poga oleosa from Nigerian rainforest. African Journal of Biotechnology, 11(50): 11096–11098."
NG2005,"Ebana, R.U.B., Edet, U.O., Ekanemesang, U.M., Ikon, G.M., Umoren, E.B., Ntukidem, N.W., Etim, O.E., Sambo, S. & Brown, U. 2017. Proximate composition and nutritional analysis of seeds and testas of Dacryodes edulis and Garcinia kola. Asian Journal of Cell Biology, 2(1): 1–8."
NG2014,"Ngaha, D.W., Fombang, E.N. & Ejoh, R.A. 2014. Dietary intake of vitamin A and macronutrients among pregnant women in Ngaoundere Town, Adamawa Region, Cameroon. Food and Nutrition Sciences, 5(21): 2071–2080."
NRD,"Nordeide, M.B., Hatløy, A., Følling, M., Lied, E. & Oshaug, A. 1996. Nutrient composition and nutritional importance of green leaves and wild food resources in an agricultural district, Koutiala, in southern Mali. International Journal of Food Sciences and Nutrition, 47(6): 455–468."
OSABOR,"Osabor, V.N., Ogar, D.A., Okafor, P.C. & Egbung, G.E. 2009. Profile of the African bread fruit (Treculia africana). Pakistan Journal of Nutrition, 8(7): 1005–1008."
P2013,"Ponka, R., Beaucher, E., Fokou, E., Kansci, G., Piot, M., Leonil, J. & Gaucheron, F. 2013. Composition of raw cow milk and artisanal yoghurt collected in Maroua (Cameroon). African Journal of Biotechnology, 12(49): 6866–6875."
PADONS,"Padonou, S.W.G. 2005. Caractérisation physico-chimique et microbiologique du Lafun produit du Bénin. Department of Nutrition and Food Sciences (DNSA), Faculty of Agricultural Sciences (FSA), University of Abomey-Calavi. (Dissertation)"
PH001,"Abebe, Y., Bogale, A., Hambidge, K.M., Stoecker, B.J., Bailey, K. & Gibson, R.S. 2007. Phytate, zinc, iron and calcium content of selected raw and prepared foods consumed in rural Sidama, Southern Ethiopia, and implications for bioavailability. Journal of Food Composition and Analysis, 20(3): 161–168."
ph023,"Koreissi-Dembélé, Y., Fanou-Fogny, N., Hulshof, P.J. & Brouwer, I.D. 2013. Fonio (Digitaria exilis) landraces in Mali: Nutrient and phytate content, genetic diversity and effect of processing. Journal of Food Composition and Analysis, 29(2): 134–143."
ph034,"Hefnawy, T.H. 2011. Effect of processing methods on nutritional composition and anti-nutritional factors in lentils (Lens culinaris). Annals of Agricultural Sciences, 56(2): 57–61."
PH040,"Umeta, M., West, C.E. & Fufa, H. 2005. Content of zinc, iron, calcium and their absorption inhibitors in foods commonly consumed in Ethiopia. Journal of Food Composition and Analysis, 18(8): 803–817."
PH081,"Ferguson, E.L., Gibson, R.S., Opare-Obisaw, C., Osei-Opare, F., Stephen, A.M., Lehrfeld, J. & Thompson, L.U. 1993. The zinc, calcium, copper, manganese, non-starch polysaccharide and phytate content of seventy-eight locally grown and prepared African foods. Journal of Food Composition and Analysis, 6(1): 87–99."
ph104,"Lewu, M.N., Adebola, P.O. & Afolayan, A.J. 2010. Comparative assessment of the nutritional value of commercially available cocoyam and potato tubers in South Africa. Journal of Food Quality, 33(4): 461–476."
ph108,"Shokunbi, O.S., Anionwu, O.A., Sonuga, O.S. & Tayo, G.O. 2011. Effect of post-harvest processing on the nutrient and anti-nutrient compositions of Vernonia amygdalina leaf. African Journal of Biotechnology, 10(53): 10980–10985."
ph111,"Hama, F., Icard-Vernière, C., Guyot, J.P., Picq, C., Diawara, B. & Mouquet-Rivier, C. 2011. Changes in micro- and macronutrient composition of pearl millet and white sorghum during in field versus laboratory decortication. Journal of Cereal Science, 54(3): 425–433."
PH112,"Mohamed, E.A., Ali, N.A., Ahmed, S.H., Ahmed, I.A.M. & Babiker, E.E. 2010. Effect of radiation process on antinutrients and HCl extractability of calcium, phosphorus and iron during processing and storage. Radiation Physics and Chemistry, 79(7): 791–796."
ph135,"Madodé, Y.E., Linnemann, A.R., Nout, M.J., Vosman, B., Hounhouigan, D.J. & Boekel, M.A. 2012. Nutrients, technological properties and genetic relationships among twenty cowpea landraces cultivated in West Africa. International Journal of Food Science & Technology, 47(12): 2636–2647."
ph252,"El-Niely, H.F. 2007. Effect of radiation processing on antinutrients, in-vitro protein digestibility and protein efficiency ratio bioassay of legume seeds. Radiation Physics and Chemistry, 76(6): 1050–1057."
ph262,"Cheik, A.O., Aly, S., Yaya, B. & Alfred, T.S. 2006. A comparative study on nutritional and technological quality of fourteen (14) cultivars of pearl millets [Pennisetum glaucum (L) Leeke] in Burkina Faso. Pakistan Journal of Nutrition, 5(6): 512–521."
ph313,"Urua, I.S., Uyoh, E.A., Ntui, V.O. & Okpako, E.C. 2013. Effect of processing on proximate composition, anti-nutrient status and amino acid content in three accessions of African locust bean (Parkia biglobosa (jacq.) benth. International Journal of Food Sciences and Nutrition, 64(1): 94–102."
ph327,"Badifu, G.I.O. 2001. Effect of processing on proximate composition, antinutritional and toxic contents of kernels from Cucurbitaceae species grown in Nigeria. Journal of Food Composition and Analysis, 14(2): 153–161."
ph349,"Oboh, G. & Ekperigin, M.M. 2004. Nutritional evaluation of some Nigerian wild seeds. Molecular Nutrition & Food Research, 48(2): 85–87."
phy57,"Farinu, G.O. & Ingrao, G. 1991. Gross composition, amino acid, phytic acid and trace element contents of thirteen cowpea cultivars and their nutritional significance. Journal of the Science of Food and Agriculture, 55(3): 401–410."
pu022,"Tuleun, C.D., Carew, S.N. & Patrick, J.A. 2008. Fruit characteristics and chemical composition of some varieties of velvet beans (mucuna spp) found in Benue State of Nigeria. Livestock Research for Rural Development, 20(10)."
pu039,"Akingbade, A.A., Sodeinde, F.G., Olaniyi, C.O., Oyetayo, T.S., Fadare, O.R. & Rabiu, A.O. 2009. Proximate and mineral elements composition of water soaked Carnavalia ensiformis seeds. Pakistan Journal of Nutrition, 8(9): 1401–1403. "
pu043,"Ogunji, J.O., Wirth M. & Osuigwe D.I. 2003. Nutrient composition of some tropical legumes capable of substituting fish meal in fish diets. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 104(2): 143–148."
pu046,"Ajah, P.O. & Madubuike F.N. 1997. The proximate composition of some tropical legume seeds grown in two states in Nigeria. Food Chemistry, 59(3): 361–365."
pu048,"Siddhuraju, P. & Becker, K. 2001. Species/variety differences in biochemical composition and nutritional value of Indian tribal legumes of the genus Canavalia. Die Nahrung, 45(4): 224–233. "
pu069,"Aletor, V.A. & Ojo, O.I. 1989. Changes in differently processed soya bean (Glycine max) and lima bean (Phaseolus lunatus) with particular reference to their chemical composition and their mineral and some inherent anti-nutritional constituents. Die Nahrung, 33(10): 1009–1016. "
pu084,"Ade-Omowaye, B.I.O, Tucker, G.A. & Smetanska, I. 2015. Nutritional potential of nine underexploited legumes in Southwest Nigeria. International Food Research Journal, 22(2): 798–806."
pu112,"Shimelis, E.A. & Rakshit, S.K. 2005. Proximate composition and physico-chemical properties of improved dry bean (Phaseolus vulgaris L.) varieties grown in Ethiopia. LWT - Food Science and Technology, 38(4): 331–338."
pu120,"Oke, M.O., Sobowale S.S. & Ogunlakin G.O. 2013. Evaluation of the effect of processing methods on the nutritional and anti-nutritional compositions of two under-utilized Nigerian grain legumes. Pakistan Journal of Biological Sciences, 16(24): 2015–2020."
pu123,"Ologhobo, A.D. & Fetuga, B.L. 1983. Compositional differences in some limabean (Phaseolus lunatus) varieties. Food Chemistry, 10(4): 297–307."
pu129,"Onimawo, I.A. & Akpojovwo A.E. 2006. Toasting (dry heat) and nutrient composition, functional properties and antinutritional factors of pigeon pea (Cajanus cajan) flour. Journal of Food Processing and Preservation, 30(6): 742–753."
pu130,"Fasoyiro, S.B., Ajibade, S.R., Omole, A.J., Adeniyan, O.N. & Farinde, E.O. 2006. Proximate, minerals and antinutritional factors of some underutilized grain legumes in south–western Nigeria. Nutrition and Food Science, 36(1): 18–23."
pu133,"Nwokolo, E. & Oji U.I. 1985. Variation in metabolizable energy content of raw or autoclaved white and brown varieties of three tropical grain legumes. Animal Feed Science and Technology, 13(1–2): 141–146. "
